Organization legal name or 'doing business as' name,Group PAC ID,State,ACO PC ID 1,ACO Name 1,ACO PC ID 2,ACO Name 2,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Denominator Count,Star Value,Five Star Benchmark,Footnote,Collection Type,Reported on PC Live Site
ATHENS NEIGHBORHOOD HEALTH CENTER INC,0042291270,GA,A81088,"Doctors ACO, LLC",,,Y,,,,,,,,,,
"INTERNAL MEDICINE ASSOCIATES OF NATCHEZ, PLLC",0042294829,MS,A20392,"Aledade Mississippi ACO, LLC",,,Y,,,,,,,,,,
"VALLEY INTERNAL MEDICINE AND PEDIATRICS, P.C.",0042295651,AZ,P029,Banner Health Network,,,Y,,,,,,,,,,
LUBBOCK DIGESTIVE DISEASE ASSOCIATES,0042298457,TX,A07425,"Covenant ACO, Inc.",,,Y,,,,,,,,,,
FORT WAYNE DERMATOLOGY CONS. INC.,0042299885,IN,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,141,,,,REG,N
FORT WAYNE DERMATOLOGY CONS. INC.,0042299885,IN,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,22,,,,REG,N
FORT WAYNE DERMATOLOGY CONS. INC.,0042299885,IN,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,178,,,,REG,N
FORT WAYNE DERMATOLOGY CONS. INC.,0042299885,IN,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,67,483,,,,REG,N
FORT WAYNE DERMATOLOGY CONS. INC.,0042299885,IN,,,,,Y,PQRS_GRP_337_1,Tuberculosis Prevention for Psoriasis and Psoriatic Arthritis Patients on a Biological Immune Response Modifier,N,77,53,,,,REG,N
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_116_1,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,N,15,20,,,,REG,N
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,22,,,,REG,N
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100,249,5,100,,REG,Y
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,20,25,3,0,,REG,Y
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_46_3,Medication Reconciliation Post-Discharge,N,100,86,,,,REG,N
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,99,173,4,100,,REG,Y
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,100,104,5,100,,REG,Y
GPCH LLC,0042303232,TX,,,,,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,93,45,,,,REG,N
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,TN,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,92,15651,4,100,,REG,Y
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,TN,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,92,132,,,,REG,N
TIEN T NGUYEN M.D. INC.,0042318131,CA,NG458,"MemorialCare Regional ACO, LLC",,,Y,,,,,,,,,,
"DULCE M. ALMANZAR, M.D., PC",0042336422,NY,A74238,"Primary PartnerCare ACO Independent Practice Association, Inc.",,,Y,,,,,,,,,,
DYNAMIC PHYSICAL THERAPY AND SPORTS REHABILITATIONS,0042348948,NJ,,,,,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,52,112,,,,REG,N
DYNAMIC PHYSICAL THERAPY AND SPORTS REHABILITATIONS,0042348948,NJ,,,,,,PQRS_GRP_182_1,Functional Outcome Assessment,N,98,131,,,,REG,N
"YOUENS, DUCHICELA and ASSOCIATES, P.A.",0042361511,TX,A66931,"Alliance ACO, LLC",,,Y,,,,,,,,,,
ANK PC,0042368813,MI,A08783,"Prime Accountable care , LLC",,,Y,,,,,,,,,,
"TANYA R. GRUN, M.D., P.A.",0042369027,TX,A23652,"GHN ACO, LLC",,,Y,,,,,,,,,,
VICKI CARR MD PA,0042370918,TX,A44499,Baylor St. Luke's Health Network ACO,,,Y,,,,,,,,,,
GRAND TRAVERSE INTERNISTS PC,0042374977,MI,A19855,Northern Michigan Health Network,,,Y,,,,,,,,,,
ENVISION EYE SPECIALISTS PC,0042375941,MO,A23513,"SLPA ACO, LLC",,,Y,,,,,,,,,,
"MOUNT LAUREL PRIMARY CARE PHYSICIANS, PC",0042383424,NJ,NG448,Trinity Health ACO Inc.,,,Y,,,,,,,,,,
BOYCE and BYNUM PATHOLOGY PROFESSIONAL SERVICES INC,0042384976,MO,,,,,Y,PQRS_GRP_395_1,Lung Cancer Reporting (Biopsy/Cytology Specimens),N,100,264,,,,REG,N
BOYCE and BYNUM PATHOLOGY PROFESSIONAL SERVICES INC,0042384976,MO,,,,,Y,PQRS_GRP_397_1,Melanoma Reporting,N,100,60,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,77,744,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,4527,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,100,158,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,98,946,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,4527,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_322_1,Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Preoperative Evaluation in Low Risk Surgery Patients,Y,9,185,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_323_1,Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Routine Testing After Percutaneous Coronary Intervention (PCI),Y,1,185,,,,REG,N
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,,,,,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,11,185,,,,REG,N
BAXTER COUNTY REGIONAL HOSPITAL INC,0042389264,AR,A69266,Baxter Physician Partners,,,Y,,,,,,,,,,
CENTER FOR VEIN RESTORATION NJ LLC,0042430332,NJ,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,0,1303,,,,REG,N
CENTER FOR VEIN RESTORATION NJ LLC,0042430332,NJ,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,99,984,4,100,,REG,Y
CENTER FOR VEIN RESTORATION NJ LLC,0042430332,NJ,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,1,782,4,0,,REG,Y
CENTER FOR VEIN RESTORATION NJ LLC,0042430332,NJ,,,,,Y,PQRS_GRP_47_1,Advance Care Plan,N,100,827,5,100,,REG,Y
CENTER FOR DIGESTIVE WELLNESS PC,0042435117,MA,A71487,"UMASS Memorial Accountable Care Organization, INC.",,,Y,,,,,,,,,,
PONDVILLE MEDICAL ASSOCIATES LLC,0042437410,MA,A35510,"NEQCA Accountable Care, Inc.",,,Y,,,,,,,,,,
APPLIED PHYSICAL MEDICINE PLLC,0042439853,AZ,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,448,,,,REG,N
APPLIED PHYSICAL MEDICINE PLLC,0042439853,AZ,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,83,41,,,,REG,N
APPLIED PHYSICAL MEDICINE PLLC,0042439853,AZ,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,80,41,,,,REG,N
APPLIED PHYSICAL MEDICINE PLLC,0042439853,AZ,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,453,,,,REG,N
WATERS PLACE MEDICAL GROUP PC,0042443376,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
"SLEEP PRACTITIONERS, LLC",0042444242,GA,A89091,"Georgia Physicians for Accountable Care, LLC",,,Y,,,,,,,,,,
PITTSBURGH PULMONARY AND CRITICAL CARE ASSOCIATES,0042445827,PA,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
UWH OF NORTH CAROLINA LLP,0042448169,NC,A39107,"Mission Health Partners, Inc.",,,Y,,,,,,,,,,
PRIMEHEALTH PHYSICIANS LLC,0042456907,FL,A78902,"Orange Accountable Care of South Florida, LLC",,,Y,,,,,,,,,,
"MON-VALE SPECIALTY PRACTICES, INC.",0042464026,PA,A24144,"Physicians Accountable Care Solutions, LLC",,,Y,,,,,,,,,,
OLIVER STREET 5.01(A) INC.,0042464125,TX,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,16,760,,,,REG,N
OLIVER STREET 5.01(A) INC.,0042464125,TX,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,5,133,,,,REG,N
OLIVER STREET 5.01(A) INC.,0042464125,TX,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,733,,,,REG,N
OLIVER STREET 5.01(A) INC.,0042464125,TX,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,74,13407,2,100,,REG,Y
OLIVER STREET 5.01(A) INC.,0042464125,TX,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,12227,5,0,,REG,Y
INDIGO HOSPITAL MEDICINE TRAVERSE CITY PLC,0042465668,MI,A19855,Northern Michigan Health Network,,,Y,,,,,,,,,,
CASS RIVER HEALTH PLAZA PLLC,0042466484,MI,A08783,"Prime Accountable care , LLC",,,Y,,,,,,,,,,
INNOVATIVE FAMILY CARE,0042474942,TN,A98813,Cumberland Center for Healthcare Innovation,,,Y,,,,,,,,,,
SOLOMON VALLEY FAMILY MEDICINE PA,0042482408,KS,A17196,"Aledade Kansas ACO, LLC",,,Y,,,,,,,,,,
HEALTHWAY INTERNAL MEDICINE and PEDIATRICS PLLC,0042483851,KY,A03716,Bluegrass Clinical Partners LLC,,,Y,,,,,,,,,,
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,,,,,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,97,116,,,,REG,N
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,,,,,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,35,20,,,,REG,N
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,,,,,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,75,20,,,,REG,N
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,,,,,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,121,,,,REG,N
"TOHICKON INTERNAL MEDICINE, LLC",0042492290,PA,A74161,Delaware Valley ACO,,,Y,,,,,,,,,,
BRIAN MARGOLIS MD AND ANTHONY SPADARO MD LLP,0042493215,NY,A87823,"Beacon Health Partners, LLP",,,Y,,,,,,,,,,
VINAYA KUMAR PA,0042494213,FL,A61540,Space Coast ACO,,,Y,,,,,,,,,,
PRINCETON OCCUPATIONAL HEALTH and FAMILY MEDICINE,0042495665,NJ,A27912,"Princeton HealthCare Partners, LLC",,,Y,,,,,,,,,,
ANGELA AZAR MD PC,0143110098,NY,A22038,Northwell Health ACO,,,Y,,,,,,,,,,
NEW HANOVER REGIONAL MEDICAL CENTER,0143110460,NC,A20168,"Physician Quality Partners, LLC",,,Y,,,,,,,,,,
"GASTROCARE, LI PC",0143110726,NY,A87823,"Beacon Health Partners, LLP",,,Y,,,,,,,,,,
RADIOLOGY SPECIALISTS LTD,0143110874,NV,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,100,6597,,,,REG,N
RADIOLOGY SPECIALISTS LTD,0143110874,NV,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,86,600,,,,REG,N
RADIOLOGY SPECIALISTS LTD,0143110874,NV,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,100,6491,,,,REG,N
RADIOLOGY SPECIALISTS LTD,0143110874,NV,,,,,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,2602,,,,REG,N
RADIOLOGY SPECIALISTS LTD,0143110874,NV,,,,,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,100,1415,,,,REG,N
"CANAL RADIOLOGY ASSOCIATES, PC",0143111047,NY,A38665,CCACO,A21965,"Asian American Accountable Care Organization, LLC",Y,,,,,,,,,,
"FRONT RANGE CENTER FOR BRAIN and SPINE SURGERY, PC.",0143111310,WY,A26254,"Central US ACO, LLC",,,Y,,,,,,,,,,
"EAR, NOSE AND THROAT ASSOCIATES OF NEW YORK,P.C.",0143111328,NY,P021,Montefiore ACO,,,Y,,,,,,,,,,
MONMOUTH-OCEAN NEUROLOGY PC,0143112599,NJ,A69939,"Meridian Accountable Care Organization, LLC",,,Y,,,,,,,,,,
MONROE EAR NOSE AND THROAT ASSOCIATES PC,0143112771,MI,A06512,"ProMedica Health Network, Inc.",,,Y,,,,,,,,,,
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care - Recall System,N,100,26,,,,REG,N
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,20,,,,REG,N
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,29,,,,REG,N
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,92,1083,4,100,,REG,Y
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly,Y,0,1205,5,0,,REG,Y
SKIN GROUP PLLC,0143114017,KY,,,,,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,99,,,,REG,N
BELMONT COMMUNITY HOSPITAL INC,0143114975,OH,,,,,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,1692,4,100,,REG,Y
"ENCOMPASS MEDICAL GROUP, PA",0143116053,MO,,,,,Y,QCDR_GRP_ACRad14_1,Participation in a National Dose Index Registry,N,100,2176,,,,QCDR,Y
CEDAR POINT HEALTH LLC,0143119586,CO,A20311,"San Juan Accountable Care Organization, LLC",,,Y,,,,,,,,,,
BOICE-WILLIS CLINIC PA,0143122382,NC,A87238,"Tar River Health Alliance, LLC",,,Y,,,,,,,,,,
UCLA OBGYN MEDICAL GROUP,0143124289,CA,A45761,UCLA Faculty Practice Group,,,Y,,,,,,,,,,
ARTHRITIS and OSTEOPOROSIS CENTER PC,0143124735,CT,A49168,"CMG ACO, LLC",,,Y,,,,,,,,,,
"DAVIS RADIOLOGY, P.C.",0143125997,IA,,,,,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,63,1894,,,,REG,N
"DAVIS RADIOLOGY, P.C.",0143125997,IA,,,,,Y,PQRS_GRP_146_1,"Radiology: Inappropriate Use of ""Probably Benign"" Assessment Category in Mammography Screening",Y,0,8234,,,,REG,N
"DAVIS RADIOLOGY, P.C.",0143125997,IA,,,,,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,56,277,,,,REG,N
"DAVIS RADIOLOGY, P.C.",0143125997,IA,,,,,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,86,1134,,,,REG,N
